ACT;MANDT;S;3
ACT;AUFPL;S;10
ACT;APLZL;S;8
ACT;PLNFL;S;6
ACT;PLNKN;S;8
ACT;PLNAL;S;2
ACT;PLNTY;S;1
ACT;VINTV;S;3
ACT;PLNNR;S;8
ACT;ZAEHL;S;8
ACT;VORNR;S;4
ACT;STEUS;S;4
ACT;ARBID;S;8
ACT;PDEST;S;4
ACT;WERKS;S;4
ACT;KTSCH;S;7
ACT;LTXA1;S;40
ACT;LTXA2;S;40
ACT;TXTSP;S;1
ACT;VPLTY;S;1
ACT;VPLNR;S;8
ACT;VPLAL;S;2
ACT;VPLFL;S;6
ACT;VGWTS;S;4
ACT;LAR01;S;6
ACT;LAR02;S;6
ACT;LAR03;S;6
ACT;LAR04;S;6
ACT;LAR05;S;6
ACT;LAR06;S;6
ACT;ZERMA;S;5
ACT;ZGDAT;S;4
ACT;ZCODE;S;6
ACT;ZULNR;S;5
ACT;LOANZ;S;3
ACT;LOART;S;4
ACT;RSANZ;S;3
ACT;QUALF;S;2
ACT;ANZMA;S;5
ACT;RFGRP;S;10
ACT;RFSCH;S;10
ACT;RASCH;S;2
ACT;AUFAK;S;5
ACT;LOGRP;S;3
ACT;UEMUS;S;1
ACT;UEKAN;S;1
ACT;FLIES;S;1
ACT;SPMUS;S;1
ACT;SPLIM;S;3
ACT;ABLIPKZ;S;1
ACT;RSTRA;S;2
ACT;SUMNR;S;8
ACT;SORTL;S;10
ACT;LIFNR;S;10
ACT;PREIS;S;11
ACT;PEINH;S;5
ACT;SAKTO;S;10
ACT;WAERS;S;5
ACT;INFNR;S;10
ACT;ESOKZ;S;1
ACT;EKORG;S;4
ACT;EKGRP;S;3
ACT;KZLGF;S;1
ACT;KZWRTF;S;1
ACT;MATKL;S;9
ACT;DDEHN;S;1
ACT;ANZZL;S;3
ACT;PRZNT;S;3
ACT;MLSTN;S;5
ACT;PPRIO;S;2
ACT;BUKRS;S;4
ACT;ANFKO;S;10
ACT;ANFKOKRS;S;4
ACT;INDET;S;1
ACT;LARNT;S;6
ACT;PRKST;S;11
ACT;APLFL;S;6
ACT;RUECK;S;10
ACT;RMZHL;S;8
ACT;PROJN;S;8
ACT;OBJNR;S;22
ACT;SPANZ;S;3
ACT;BEDID;S;12
ACT;BEDZL;S;8
ACT;BANFN;S;10
ACT;BNFPO;S;5
ACT;LEK01;S;1
ACT;LEK02;S;1
ACT;LEK03;S;1
ACT;LEK04;S;1
ACT;LEK05;S;1
ACT;LEK06;S;1
ACT;SELKZ;S;1
ACT;KALID;S;2
ACT;FRSP;S;1
ACT;STDKN;S;8
ACT;ANLZU;S;1
ACT;ISTRU;S;18
ACT;ISTTY;S;1
ACT;ISTNR;S;8
ACT;ISTKN;S;8
ACT;ISTPO;S;8
ACT;IUPOZ;S;4
ACT;EBORT;S;20
ACT;VERTL;S;8
ACT;LEKNW;S;1
ACT;NPRIO;S;1
ACT;PVZKN;S;8
ACT;PHFLG;S;1
ACT;PHSEQ;S;2
ACT;KNOBJ;S;18
ACT;ERFSICHT;S;2
ACT;QPPKTABS;S;1
ACT;OTYPE;S;2
ACT;OBJEKTID;S;8
ACT;QLKAPAR;S;3
ACT;RSTUF;S;1
ACT;NPTXTKY;S;12
ACT;SUBSYS;S;6
ACT;PSPNR;S;8
ACT;PACKNO;S;10
ACT;TXJCD;S;15
ACT;SCOPE;S;2
ACT;GSBER;S;4
ACT;PRCTR;S;10
ACT;NO_DISP;S;1
ACT;QKZPRZEIT;S;1
ACT;QKZZTMG1;S;1
ACT;QKZPRMENG;S;1
ACT;QKZPRFREI;S;1
ACT;KZFEAT;S;1
ACT;QKZTLSBEST;S;1
ACT;AENNR;S;12
ACT;CUOBJ_ARB;S;18
ACT;EVGEW;S;8
ACT;ARBII;S;8
ACT;WERKI;S;4
ACT;CY_SEQNRV;S;14
ACT;KAPT_PUFFR;S;10
ACT;EBELN;S;10
ACT;EBELP;S;5
ACT;WEMPF;S;12
ACT;ABLAD;S;25
ACT;CLASF;S;1
ACT;FRUNV;S;1
ACT;ZSCHL;S;6
ACT;KALSM;S;6
ACT;SCHED_END;S;1
ACT;NETZKONT;S;1
ACT;OWAER;S;5
ACT;AFNAM;S;12
ACT;BEDNR;S;10
ACT;KZFIX;S;1
ACT;PERNR;S;8
ACT;FRDLB;S;1
ACT;QPART;S;8
ACT;LOEKZ;S;1
ACT;WKURS;S;9
ACT;PROD_ACT;S;1
ACT;FPLNR;S;10
ACT;OBJTYPE;S;1
ACT;CH_PROC;S;1
ACT;KLVAR;S;4
