TP.0096-GEW:Planung/Grunderwerb:30,0:MON:30.12.2004:29.06.2007
TP.0096-GEW:Genehmigung:18,0:MON:02.07.2007:29.12.2008
TP.0096-GEW:Ausführung:12,0:MON:30.12.2008:29.12.2009
TP.0096-EIN:Einnahmen:24,0:MON:28.12.2007:23.12.2009
TP.0100-GEW:Planung/Grunderwerb:24,0:MON:30.12.2004:29.12.2006
TP.0100-GEW:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0100-GEW:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0100-EIN:Einnahmen:12,0:MON:30.12.2005:29.12.2006
TP.0101-GEW:Planung/Grunderwerb:18,0:MON:03.01.2005:30.06.2006
TP.0101-GEW:Genehmigung:18,0:MON:03.07.2006:28.12.2007
TP.0101-GEW:Ausführung:12,0:MON:02.01.2008:23.12.2008
TP.0101-EIN:Einnahmen:48,0:MON:03.01.2005:02.01.2009
TP.0103-GEW:Planung/Grunderwerb:30,0:MON:27.12.2004:26.06.2007
TP.0103-GEW:Genehmigung:18,0:MON:27.06.2007:23.12.2008
TP.0103-GEW:Ausführung:12,0:MON:29.12.2008:23.12.2009
TP.0103-EIN:Einnahmen:60,0:MON:03.01.2005:30.12.2009
TP.0104-GEW:Planung/Grunderwerb:54,0:MON:30.12.2004:29.06.2009
TP.0104-GEW:Genehmigung:18,0:MON:30.06.2009:29.12.2010
TP.0104-GEW:Ausführung:12,0:MON:30.12.2010:29.12.2011
TP.0104-EIN:Einnahmen:48,0:MON:02.01.2007:30.12.2010
TP.0106-GEW:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0106-GEW:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0106-GEW:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0106-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0112-HRB:Planung/Grunderwerb:48,0:MON:27.12.2004:23.12.2008
TP.0112-HRB:Genehmigung:0,0:MON:23.12.2008:23.12.2008
TP.0112-HRB:Ausführung:0,0:MON:23.12.2008:23.12.2008
TP.0112-EIN:Einnahmen:36,0:MON:27.12.2005:23.12.2008
TP.0114-GEW:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0114-GEW:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0114-GEW:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0114-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0118-HRB:Planung/Grunderwerb:18,0:MON:27.12.2004:26.06.2006
TP.0118-HRB:Genehmigung:18,0:MON:27.06.2006:21.12.2007
TP.0118-HRB:Ausführung:12,0:MON:27.12.2007:19.12.2008
TP.0118-EIN:Einnahmen:12,0:MON:02.01.2006:29.12.2006
TP.0120-GEW:Planung/Grunderwerb:24,0:MON:02.01.2009:30.12.2010
TP.0120-GEW:Genehmigung:0,0:MON:30.12.2010:30.12.2010
TP.0120-GEW:Ausführung:0,0:MON:30.12.2010:30.12.2010
TP.0120-EIN:Einnahmen:24,0:MON:02.01.2009:30.12.2010
TP.0132-KA:Planung/Grunderwerb:71,9:MON:08.12.1998:02.12.2004
TP.0132-KA:Genehmigung:3,1:MON:03.12.2004:03.03.2005
TP.0132-KA:Ausführung:18,0:MON:04.03.2005:01.09.2006
TP.0140-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0140-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0140-BAU:Ausführung:5,9:MON:03.01.2005:28.06.2005
TP.0141-KA:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0141-KA:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0141-KA:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0142-RÜB:Planung/Grunderwerb:12,0:MON:02.01.2008:30.12.2008
TP.0142-RÜB:Genehmigung:0,0:MON:30.12.2008:30.12.2008
TP.0142-RÜB:Ausführung:0,0:MON:30.12.2008:30.12.2008
TP.0143-GEW:Planung/Grunderwerb:30,0:MON:03.01.2005:02.07.2007
TP.0143-GEW:Genehmigung:18,0:MON:03.07.2007:02.01.2009
TP.0143-GEW:Ausführung:12,0:MON:05.01.2009:30.12.2009
TP.0143-EIN:Einnahmen:36,0:MON:02.01.2007:30.12.2009
TP.0144-GEW:Planung/Grunderwerb:0,0:MON:29.12.2003:29.12.2003
TP.0144-GEW:Genehmigung:0,0:MON:29.12.2003:29.12.2003
TP.0144-GEW:Ausführung:0,0:MON:29.12.2003:29.12.2003
TP.0144-EIN:Einnahmen:0,0:MON:29.12.2003:29.12.2003
TP.0145-GEW:Planung/Grunderwerb:0,0:MON:30.12.2004:30.12.2004
TP.0145-GEW:Genehmigung:0,0:MON:30.12.2004:30.12.2004
TP.0145-GEW:Ausführung:24,0:MON:30.12.2004:29.12.2006
TP.0145-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0152-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0152-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Ausführung:0,0:MON:03.01.2005:03.01.2005
TP.0153-BAU:Planung/Grunderwerb:24,0:MON:30.12.2004:29.12.2006
TP.0153-BAU:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0153-BAU:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0160-PW:Planung/Grunderwerb:6,0:MON:03.01.2005:01.07.2005
TP.0160-PW:Genehmigung:6,0:MON:04.07.2005:30.12.2005
TP.0160-PW:Ausführung:24,0:MON:02.01.2006:28.12.2007
TP.0169-GEW:Planung/Grunderwerb:24,0:MON:03.01.2005:02.01.2007
TP.0169-GEW:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0169-GEW:Ausführung:0,0:MON:02.01.2007:02.01.2007
TP.0183-GEW:Planung/Grunderwerb:0,0:MON:28.12.2003:28.12.2003
TP.0183-GEW:Genehmigung:0,0:MON:28.12.2003:28.12.2003
TP.0183-GEW:Ausführung:0,0:MON:28.12.2003:28.12.2003
TP.0185-GEW:Planung/Grunderwerb:48,0:MON:30.12.2004:29.12.2008
TP.0185-GEW:Genehmigung:0,0:MON:29.12.2008:29.12.2008
TP.0185-GEW:Ausführung:0,0:MON:29.12.2008:29.12.2008
TP.0187-GEW:Planung/Grunderwerb:48,0:MON:03.01.2005:02.01.2009
TP.0187-GEW:Genehmigung:0,0:MON:02.01.2009:02.01.2009
TP.0187-GEW:Ausführung:0,0:MON:02.01.2009:02.01.2009
TP.0187-EIN:Einnahmen:24,0:MON:02.01.2007:30.12.2008
TP.0196-GEW:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0196-GEW:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0196-GEW:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0197-GEW:Planung/Grunderwerb:36,0:MON:20.12.2004:19.12.2007
TP.0197-GEW:Genehmigung:12,0:MON:20.12.2007:19.12.2008
TP.0197-GEW:Ausführung:12,0:MON:22.12.2008:18.12.2009
TP.0197-EIN:Einnahmen:60,0:MON:03.01.2005:30.12.2009
TP.0201-KAN:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0201-KAN:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0201-KAN:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0202-RÜB:Planung/Grunderwerb:10,0:MON:27.12.2005:26.10.2006
TP.0202-RÜB:Genehmigung:8,0:MON:27.10.2006:26.06.2007
TP.0202-RÜB:Ausführung:18,0:MON:27.06.2007:23.12.2008
TP.0204-GEW:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0204-GEW:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0204-GEW:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0206-GEW:Planung/Grunderwerb:60,0:MON:29.12.2003:23.12.2008
TP.0206-GEW:Genehmigung:0,0:MON:23.12.2008:23.12.2008
TP.0206-GEW:Ausführung:0,0:MON:23.12.2008:23.12.2008
TP.0206-EIN:Einnahmen:48,0:MON:27.12.2004:23.12.2008
TP.0212-HRB:Planung/Grunderwerb:36,0:MON:29.12.2004:28.12.2007
TP.0212-HRB:Genehmigung:0,0:MON:28.12.2007:28.12.2007
TP.0212-HRB:Ausführung:0,0:MON:28.12.2007:28.12.2007
TP.0212-EIN:Einnahmen:0,0:MON:29.12.2004:29.12.2004
TP.0213-HRB:Planung/Grunderwerb:24,0:MON:03.01.2005:29.12.2006
TP.0213-HRB:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0213-HRB:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0213-EIN:Einnahmen:0,0:MON:29.12.2005:29.12.2005
TP.0218-GEW:Planung/Grunderwerb:12,0:MON:22.12.2004:21.12.2005
TP.0218-GEW:Genehmigung:12,0:MON:22.12.2005:21.12.2006
TP.0218-GEW:Ausführung:12,0:MON:22.12.2006:21.12.2007
TP.0218-EIN:Einnahmen:24,0:MON:22.12.2005:21.12.2007
TP.0220-TSP:Planung/Grunderwerb:18,0:MON:29.12.2004:28.06.2006
TP.0220-TSP:Genehmigung:6,0:MON:29.06.2006:28.12.2006
TP.0220-TSP:Ausführung:12,0:MON:29.12.2006:28.12.2007
TP.0220-EIN:Einnahmen:12,0:MON:02.01.2007:28.12.2007
TP.0226-TSP:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0226-TSP:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0226-TSP:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0227-HRB:Planung/Grunderwerb:30,0:MON:27.12.2004:26.06.2007
TP.0227-HRB:Genehmigung:18,0:MON:27.06.2007:23.12.2008
TP.0227-HRB:Ausführung:12,0:MON:29.12.2008:23.12.2009
TP.0227-EIN:Einnahmen:48,0:MON:30.12.2005:29.12.2009
TP.0236-HRB:Planung/Grunderwerb:36,0:MON:29.12.2004:28.12.2007
TP.0236-HRB:Genehmigung:0,0:MON:28.12.2007:28.12.2007
TP.0236-HRB:Ausführung:0,0:MON:28.12.2007:28.12.2007
TP.0236-EIN:Einnahmen:0,0:MON:29.12.2004:29.12.2004
TP.0238-GEW:Planung/Grunderwerb:18,0:MON:29.12.2004:28.06.2006
TP.0238-GEW:Genehmigung:0,0:MON:28.06.2006:28.06.2006
TP.0238-GEW:Ausführung:18,0:MON:29.06.2006:28.12.2007
TP.0241-GEW:Planung/Grunderwerb:48,0:MON:03.01.2005:02.01.2009
